,x
31374_at,0.391340419
32541_at,0.390813248
35299_at,0.390771827
366_s_at,0.390674078
40854_at,0.3905688
31969_i_at,0.390351537
31603_at,0.390312268
35300_at,0.390198007
38452_at,0.389906175
38363_at,0.389776306
38415_at,0.389756953
1760_s_at,0.389600648
737_at,0.389533576
33040_at,0.389348369
40187_at,0.389202234
33347_at,0.389081486
37699_at,0.388487121
40189_at,0.388427964
40725_at,0.388395568
35311_at,0.388282614
38067_at,0.388213592
35757_at,0.387888529
160040_at,0.387698698
38461_at,0.38761498
39907_at,0.387503875
33186_i_at,0.387143754
38372_at,0.386234859
32429_f_at,0.386192518
40215_at,0.385947508
36549_at,0.385891524
1525_s_at,0.385580216
32966_at,0.384938056
1474_s_at,0.384477426
40754_at,0.3842268
35232_f_at,0.384217098
39518_at,0.383838601
37585_at,0.383502639
1952_s_at,0.383407637
AFFX-MurIL10_at,0.383335372
109_at,0.383095579
37606_at,0.383062255
32211_at,0.382868975
36565_at,0.382747927
36769_at,0.382479262
39261_at,0.382387736
41677_at,0.382136109
40783_s_at,0.382027498
37010_at,0.381654599
39826_f_at,0.381603463
31547_at,0.381570114
36167_at,0.380692907
38116_at,0.380588828
38807_at,0.380306638
39785_at,0.38024527
39516_at,0.380207064
39218_at,0.380095905
38375_at,0.380068441
35631_at,0.380058911
40665_at,0.380054416
31417_at,0.37995405
38262_at,0.379275793
829_s_at,0.379275473
37634_at,0.37912043
1862_at,0.37907273
37501_at,0.3782551
31729_at,0.378161705
193_at,0.377701557
32721_at,0.377434206
33350_s_at,0.377156477
33776_at,0.37712999
40118_at,0.376935334
34849_at,0.376811897
37697_s_at,0.376651755
35983_at,0.376323898
35029_at,0.376304955
300_f_at,0.376248214
38934_at,0.376024379
37164_at,0.375782802
35763_at,0.375229783
39782_at,0.374968889
31955_at,0.374963023
1090_f_at,0.374420596
39186_s_at,0.37422678
41296_s_at,0.374216125
35605_at,0.374005049
32850_at,0.373606838
34314_at,0.373053959
37684_at,0.373042342
41512_at,0.372862688
33813_at,0.372835266
32441_at,0.372331743
39812_at,0.372024192
113_i_at,0.371826338
37980_at,0.371810284
35061_at,0.371614985
32086_at,0.371522542
33430_at,0.371169021
37174_at,0.370655588
35355_at,0.370640185
1071_at,0.370529642
32236_at,0.370178125
41760_at,0.369830846
38059_g_at,0.369817667
1521_at,0.369750972
38446_at,0.369721076
41834_g_at,0.369578432
40166_at,0.368655179
33278_at,0.368486151
36188_at,0.36846061
38723_at,0.368153271
41552_g_at,0.367749072
1115_at,0.367473797
1312_at,0.367191773
38573_at,0.366658054
287_at,0.366214455
41335_at,0.365632595
41562_at,0.365614228
39760_at,0.36553893
40860_s_at,0.36547763
1501_at,0.36520553
41251_at,0.365015325
37899_at,0.365013033
820_at,0.364993251
34770_at,0.364944754
40485_at,0.364772495
41741_at,0.364732766
37056_at,0.364167127
34053_at,0.36406336
1424_s_at,0.363610384
1702_at,0.363064814
38315_at,0.362569238
36727_at,0.362441466
31948_at,0.362334886
949_s_at,0.362193645
1817_at,0.362183621
34176_at,0.362169982
40889_at,0.361962973
41129_at,0.361912329
33189_at,0.361911763
33433_at,0.361604313
39743_at,0.361405806
876_at,0.361396375
41223_at,0.361388425
35558_at,0.361156769
32240_at,0.361081626
39806_at,0.360718863
40417_at,0.360282285
40669_at,0.360166294
31421_at,0.360126753
2081_s_at,0.360077326
32120_at,0.360024352
35075_at,0.359803971
33383_f_at,0.359786685
33484_at,0.359607462
34825_at,0.359527076
41359_at,0.359276985
36017_at,0.358892495
38141_at,0.358688115
586_s_at,0.358636496
36805_s_at,0.358616732
37398_at,0.358411225
1076_at,0.357907578
38579_at,0.357461385
415_at,0.35732958
31370_at,0.35724016
40503_at,0.356984337
1072_g_at,0.35685071
40150_at,0.35678581
37376_at,0.356736225
233_s_at,0.356718325
32487_s_at,0.356456119
34274_at,0.356361581
35872_at,0.356279094
37940_f_at,0.356038716
40464_g_at,0.355751489
33669_at,0.355247512
37840_at,0.355050642
1399_at,0.354948634
32074_at,0.354726303
32925_at,0.354643199
33059_at,0.35434108
35500_at,0.354135904
35758_at,0.354029541
32361_s_at,0.353928125
32082_at,0.3531969
41149_at,0.353037006
229_at,0.352929822
34969_s_at,0.352371356
38335_at,0.352292435
39313_at,0.352077721
34436_at,0.35205034
33202_f_at,0.351950499
38055_at,0.351883612
34659_at,0.351823416
40251_at,0.351651698
35574_i_at,0.351649376
34523_at,0.35156845
38322_at,0.35126593
35982_at,0.351220339
33173_g_at,0.351018545
38054_at,0.350784799
37760_at,0.350770196
33729_at,0.350586684
38564_at,0.350557037
31907_at,0.350302858
33422_at,0.350278916
31693_f_at,0.350084173
34052_at,0.34990532
37407_s_at,0.349742035
41860_at,0.349371563
34380_at,0.34900639
38371_at,0.348837397
1985_s_at,0.348689123
35189_at,0.348459788
37740_r_at,0.3484215
31863_at,0.348349047
34653_at,0.348295254
1891_at,0.348187737
37838_at,0.348054944
33435_r_at,0.347515591
41800_s_at,0.347515589
34295_at,0.346824712
41480_at,0.34646682
37520_at,0.34614651
38856_at,0.346013562
37731_at,0.345615118
40782_at,0.345485167
34432_at,0.34526283
39796_at,0.345249911
33661_at,0.344985334
32358_at,0.344918036
40347_at,0.344793381
39073_at,0.344025399
35157_at,0.343853933
34727_at,0.34371621
34034_at,0.343129734
1251_g_at,0.343000681
35549_at,0.342919138
1668_s_at,0.342918374
41371_at,0.342544806
37353_g_at,0.34253693
40139_at,0.342319402
33026_at,0.342061738
36063_at,0.341998138
1949_at,0.341977139
1943_at,0.341876956
611_at,0.341787564
36504_at,0.341561565
39419_at,0.341278276
40306_at,0.341202415
32293_at,0.341042235
32637_r_at,0.340866433
246_at,0.340672456
38328_at,0.340446524
41638_at,0.340441072
32061_at,0.340393435
1850_at,0.340293624
35407_at,0.34024739
39152_f_at,0.339925053
36041_at,0.339791458
40778_at,0.339651293
34744_at,0.339643623
35481_at,0.339558547
35774_r_at,0.339285254
40040_at,0.339203636
36008_at,0.339202633
32181_at,0.338986181
41272_s_at,0.338954472
33044_f_at,0.338738255
813_at,0.338672726
36527_at,0.33864219
1285_at,0.338572293
34450_at,0.338367557
33542_at,0.338102799
35186_at,0.338087284
35385_at,0.338075956
35271_at,0.33799887
41584_at,0.337790485
32436_at,0.336772668
37902_at,0.336698704
31351_at,0.336423372
38679_g_at,0.33638422
33657_at,0.336348061
196_s_at,0.336310673
1207_at,0.335991354
38358_at,0.335646565
37431_at,0.335620924
37436_at,0.335590705
38892_at,0.335579324
35582_at,0.335563087
33074_g_at,0.335533785
1658_g_at,0.335448193
32752_at,0.335258867
39088_at,0.334820729
33773_at,0.334528804
37615_at,0.334474574
37580_at,0.334471913
39800_s_at,0.334161675
31749_f_at,0.333562086
35717_at,0.333430368
31718_at,0.33330606
40137_at,0.333145451
38532_at,0.333047069
31735_at,0.332853525
33122_at,0.332803143
41518_at,0.332729288
33837_at,0.332583857
36027_at,0.332556939
1602_at,0.332365325
36602_at,0.332339894
36232_at,0.332336599
1809_at,0.332332127
37894_at,0.332023024
41519_at,0.33170631
36591_at,0.33168683
37366_at,0.331502813
37197_s_at,0.331465679
1338_s_at,0.331190998
33432_at,0.33114736
33588_at,0.330949559
37670_at,0.330566519
33845_at,0.330157898
34483_at,0.330116676
35595_at,0.330041458
39440_f_at,0.329791375
31661_at,0.329784293
34511_s_at,0.329452004
37927_at,0.329448473
32352_at,0.329122985
36473_at,0.329113035
32341_f_at,0.329079686
40638_at,0.329050982
36500_at,0.328855492
41587_g_at,0.328599459
40713_at,0.328281355
41712_at,0.328272118
37119_at,0.327847011
37500_at,0.32779639
34640_at,0.327770284
41752_at,0.327565098
35940_at,0.327278904
35496_at,0.326994884
40072_at,0.326710252
35535_f_at,0.326638644
40250_at,0.326455557
1657_at,0.32637689
1630_s_at,0.32583164
38290_at,0.32582087
37285_at,0.325728746
39717_g_at,0.325705311
34191_at,0.325683209
34381_at,0.325356262
36421_at,0.325245055
35371_at,0.324789422
32173_at,0.324724386
35129_at,0.324458163
38276_at,0.324279364
39928_at,0.324266353
41603_at,0.324099667
1129_at,0.324007138
37629_at,0.323733278
31978_at,0.323509292
1872_at,0.323440474
34828_at,0.323234383
41629_at,0.323217242
39230_at,0.32307988
32954_at,0.322948812
37651_at,0.322826565
39485_g_at,0.322802943
38613_at,0.322701887
32460_at,0.322601476
35006_at,0.322483692
1877_g_at,0.322135806
36837_at,0.322067794
32439_at,0.321991973
35177_at,0.321869401
33095_i_at,0.321774012
31518_i_at,0.321625859
36941_at,0.32155483
31878_at,0.321292104
1853_at,0.32116139
34083_at,0.321088836
1994_at,0.320864808
31934_at,0.3207694
1119_at,0.32067999
34937_at,0.320576647
925_at,0.320532908
39102_at,0.320454331
35307_at,0.319903241
39314_at,0.319853805
37700_at,0.31983498
38905_at,0.319747972
38941_s_at,0.319643158
37552_at,0.319636339
1448_at,0.319629975
652_g_at,0.319395227
40060_r_at,0.319222617
802_at,0.319193678
39146_at,0.319172552
38977_at,0.318893884
1116_at,0.318702393
38857_r_at,0.318435118
978_at,0.318370839
40112_at,0.318347796
580_at,0.318311024
39302_at,0.318258054
34504_at,0.318255608
32137_at,0.318013917
37766_s_at,0.317855302
36444_s_at,0.317790769
1022_f_at,0.317789921
33540_at,0.317134877
351_f_at,0.316984533
31791_at,0.3169588
527_at,0.316944965
38076_at,0.316840891
39935_at,0.316831912
1728_at,0.316783225
38631_at,0.316768682
32684_at,0.316409052
947_at,0.316382846
41006_at,0.316381916
38965_at,0.315982663
34551_at,0.315832475
34789_at,0.315731775
35019_at,0.315649662
33120_at,0.315297429
33215_g_at,0.315154369
40660_at,0.31498851
38806_at,0.314907267
36601_at,0.314613931
34364_at,0.314592658
35906_at,0.314410634
34917_at,0.314374709
40905_s_at,0.314367035
40868_at,0.314200529
40074_at,0.313807918
32615_at,0.313791743
1248_at,0.313751332
37856_at,0.313734458
37199_at,0.313639114
834_at,0.313633884
1766_g_at,0.313548125
39184_at,0.313538117
1881_at,0.313490098
38475_at,0.313369152
34310_at,0.313222882
35048_at,0.313211939
32687_s_at,0.313125539
35215_at,0.312943564
34983_at,0.312937635
572_at,0.312869117
33561_at,0.312788103
33165_at,0.312706957
241_g_at,0.312676448
31922_i_at,0.312429409
41474_at,0.312411915
35272_at,0.312382726
32703_at,0.312316341
37509_at,0.312180649
39896_at,0.312132029
1327_s_at,0.312046172
39746_at,0.311965226
40110_at,0.31166271
1154_at,0.311507237
38687_at,0.311501313
39769_at,0.311375939
1055_g_at,0.311363502
651_at,0.311254321
31513_at,0.311186762
37893_at,0.31105412
35557_at,0.310908437
32757_at,0.310907288
37845_at,0.310874488
38201_at,0.310837066
37173_at,0.310730007
33147_at,0.310663821
33477_at,0.310461922
38563_at,0.310289123
33175_at,0.310150729
35995_at,0.30987114
34764_at,0.309744363
474_at,0.30974415
33264_at,0.309652046
40482_s_at,0.309628668
31702_at,0.309488165
36840_at,0.309140173
33194_at,0.309028633
41062_at,0.308877837
31771_at,0.308811473
1080_s_at,0.308724082
31381_at,0.30868588
41085_at,0.308617087
37052_at,0.308463067
37367_at,0.308462808
637_at,0.308331036
35606_at,0.308265542
33931_at,0.308020743
37825_at,0.307983902
35084_at,0.307848187
40808_at,0.30782966
38252_s_at,0.307793954
41778_at,0.307581426
35518_at,0.307299622
38866_at,0.307093086
39253_s_at,0.307084684
35418_at,0.307084215
37810_at,0.30676146
687_at,0.306624018
38987_at,0.306583115
486_at,0.306165087
39903_at,0.306153088
40627_at,0.306050256
38123_at,0.305983366
31932_f_at,0.3058232
639_s_at,0.305727574
38681_at,0.305698413
39312_r_at,0.305479996
40269_at,0.30540238
